,adr_address,name,price_level,rating,serves_breakfast,serves_dinner,takeout,types,serves_lunch
0,"<span class=""street-address"">118 S Girls School Rd</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46231-1120</span>, <span class=""country-name"">USA</span>",Paragon Restaurant,1.0,4.2,True,True,True,restaurant,
1,"<span class=""street-address"">118 S Girls School Rd</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46231-1120</span>, <span class=""country-name"">USA</span>",Paragon Restaurant,1.0,4.2,True,True,True,food,
2,"<span class=""street-address"">118 S Girls School Rd</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46231-1120</span>, <span class=""country-name"">USA</span>",Paragon Restaurant,1.0,4.2,True,True,True,point_of_interest,
3,"<span class=""street-address"">118 S Girls School Rd</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46231-1120</span>, <span class=""country-name"">USA</span>",Paragon Restaurant,1.0,4.2,True,True,True,establishment,
0,"<span class=""street-address"">3360 W Morris St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46241</span>, <span class=""country-name"">USA</span>",El Corcel Mexican Restaurant # 1,1.0,4.5,,True,True,restaurant,
1,"<span class=""street-address"">3360 W Morris St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46241</span>, <span class=""country-name"">USA</span>",El Corcel Mexican Restaurant # 1,1.0,4.5,,True,True,food,
2,"<span class=""street-address"">3360 W Morris St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46241</span>, <span class=""country-name"">USA</span>",El Corcel Mexican Restaurant # 1,1.0,4.5,,True,True,point_of_interest,
3,"<span class=""street-address"">3360 W Morris St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46241</span>, <span class=""country-name"">USA</span>",El Corcel Mexican Restaurant # 1,1.0,4.5,,True,True,establishment,
0,"<span class=""street-address"">8811 Hardegan St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46227-6363</span>, <span class=""country-name"">USA</span>",Shallo's Antique Restaurant & Brewhaus,2.0,4.4,False,True,True,bar,
1,"<span class=""street-address"">8811 Hardegan St</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46227-6363</span>, <span class=""country-name"">USA</span>",Shallo's Antique Restaurant & Brewhaus,2.0,4.4,False,True,True,restaurant,
